순번,학부(과),대상학년,수업방법,교과목명,이수구분,교과목코드,분반,학점,이론,실습,교수명,캠퍼스구분,강의시간/강의실,원격강의구분,비고
1,교직일반_논문,전학기,대면수업,한국교육의 역사,교직,SPG6824,01,2,2,0,이원재,신촌캠퍼스,월1[교302],,
2,교직일반_논문,전학기,대면수업,교사의인식및실천연구,교직,SPG6858,01,2,2,0,임웅,신촌캠퍼스,화1[교304],,영어강의
3,교직일반_논문,전학기,대면수업,교육자를위한인공지능입문,교직,SPG6867,01,2,2,0,강근영,신촌캠퍼스,목1[교302],,
4,교직일반_논문,전학기,대면수업,학습과학,교직,SPG6862,01,2,2,0,이희승,신촌캠퍼스,화1[교310],,
5,교직일반_논문,전학기,대면수업,연세와교사의사명,교직,SPG6860,01,2,2,0,곽호철,신촌캠퍼스,월3[교603],,
6,교직일반_논문,전학기,대면수업,박물관교육,교직,SPG6864,01,2,2,0,국성하,신촌캠퍼스,화3[교405],,
7,교직일반_논문,전학기,대면수업,교사론,교직,SPG6863,01,2,2,0,국성하,신촌캠퍼스,목3[교404],,
8,교직일반_논문,전학기,대면수업,교육현장을위한문학읽기,교직,SPG6869,01,2,2,0,곽수범,신촌캠퍼스,월3[교601],,
9,교직일반_논문,전학기,대면수업,교육과일의세계,교직,SPG6838,01,2,2,0,한수정,신촌캠퍼스,화3[교302],,
10,교직일반_논문,전학기,대면수업,교육자를위한인공지능과코딩기초,교직,SPG6868,01,2,2,0,한수연,신촌캠퍼스,목3[교304],,영어강의
11,교직일반_논문,전학기,대면수업,인공지능시대의과학기술과교육,교직,SPG6859,01,2,2,0,임웅,신촌캠퍼스,화3[교304],,영어강의
12,교직일반_논문,전학기,대면수업,학습동기,교직,SPG6853,01,2,2,0,김은주,신촌캠퍼스,화3[위204],,
13,교직일반_논문,전학기,대면수업,영재교육의이론과실제,교직,SPG6831,01,2,2,0,윤성로,신촌캠퍼스,화3[교306],,
14,"교직이론및교직소양(교원자격증)-3,4",전학기,대면수업,평생교육프로그램개발론,교직,SPL6691,001,2,2,0,최유연,신촌캠퍼스,화1[교402],,
15,"교직이론및교직소양(교원자격증)-3,4",전학기,대면수업,평생교육실습,교직,SPL6692,001,2,2,0,한수정,신촌캠퍼스,목1[교404],,
16,"교직이론및교직소양(교원자격증)-3,4",전학기,대면수업,평생교육론,교직,SPL6650,001,2,2,0,이상오,신촌캠퍼스,화1[교404],,
17,"교직이론및교직소양(교원자격증)-3,4",전학기,대면수업,평생교육방법론,교직,SPL6690,001,2,2,0,임현민,신촌캠퍼스,목1[교402],,
18,"교직이론및교직소양(교원자격증)-3,4",전학기,대면수업,평생교육경영론,교직,SPL6684,001,2,2,0,신경석,신촌캠퍼스,화1[교405],,
19,교육공학,전학기,대면수업,교수학습이론,전공,SET6602,01,2,2,0,이명근,신촌캠퍼스,월1[교606],,
20,교육공학,전학기,대면수업,AI교육공학기초,전공,SET6608,01,2,2,0,김남주,신촌캠퍼스,화1[교606],,
21,교육공학,전학기,대면수업,원격교육론,선택,SET6652,01,2,2,0,이지영,신촌캠퍼스,목1[교606],,
22,교육공학,전학기,대면수업,교육공학연구자료분석,선택,SET6678,01,2,2,0,박종화,신촌캠퍼스,월3[교606],,
23,교육공학,전학기,대면수업,기업교육공학연구,선택,SET6673,01,2,2,0,백평구,신촌캠퍼스,화3[교606],,
24,교육행정,전학기,대면수업,"다문화교육현장사례연구*
(구:교육현장연구방법)",선택,SMI6522,01,2,2,0,박순용,신촌캠퍼스,화1[교519],,
25,교육행정,전학기,대면수업,교육정치학,선택,SEM7814,01,2,2,0,박대권,신촌캠퍼스,화3[백S113],,
26,교육행정,전학기,대면수업,대학행정론,선택,SEM7787,01,2,2,0,이인서,신촌캠퍼스,목3[백S206],,
27,국어교육,전학기,대면수업,문학이론,전공,SKE6501,01,2,2,0,조강석,신촌캠퍼스,월1[백S608],,
28,국어교육,전학기,대면수업,현대비평문학교육론,선택,SKE6554,01,2,2,0,임유경,신촌캠퍼스,화1[백S604],,
29,국어교육,전학기,대면수업,국어이해교육론,교직,SKE6594,01,2,2,0,곽수범,신촌캠퍼스,목1[교304],,
30,국어교육,전학기,대면수업,한국구전동화읽기,선택,SKE6561,01,2,2,0,김영희,신촌캠퍼스,월1[백S604],,
31,국어교육,전학기,대면수업,언어학이론,선택,SKE6541,01,2,2,0,조운성,신촌캠퍼스,월3[백S604],,
32,국어교육,전학기,대면수업,국어정책론,선택,SKE6577,01,2,2,0,조태린,신촌캠퍼스,화3[백S604],,
33,국어교육,전학기,대면수업,고전기초강독,전공,SKE6507,01,2,2,0,이미라,신촌캠퍼스,목3[백S604],,
34,다문화국제이해교육,전학기,대면수업,세계시민교육과지속가능발전,선택,SMI6529,01,2,2,0,박수연,신촌캠퍼스,월1[백S206],,
35,다문화국제이해교육,전학기,대면수업,"다문화교육현장사례연구*
(구:교육현장연구방법)",선택,SMI6522,01,2,2,0,박순용,신촌캠퍼스,화1[교519],,
36,다문화국제이해교육,전학기,대면수업,다문화사회의학교교육,전공,SMI6503,01,2,2,0,차보은,신촌캠퍼스,목1[교601],,
37,다문화국제이해교육,전학기,대면수업,지역사회와사회통합,선택,SMI6525,01,2,2,0,오덕열,신촌캠퍼스,목3[교306],,
38,사서교육,전학기,대면수업,학교도서관의최근동향,선택,SLI6579,01,2,2,0,김기영,신촌캠퍼스,월1[위416],,
